Abnormality of taste sensation	HP:0000223
Non-Hodgkin lymphoma	None
Abnormal number of dense granules	None
Increased circulating IgG1 level	None
Increased level of anti-food allergen IgE antibody	None
Increased anti-food allergen IgE antibody level	None
Lymphoproliferative disorders	None
Lymphoproliferative disorder	None
Subcutaneous arteriolar thrombosis	None
Arterial thrombosis	None
Blood clot in artery	None
Abnormality of neutrophil morphology	None
Abnormal neutrophil morphology	None
Retinal haemorrhage	None
Retinal haemorrhages	None
Retinal hemorrhage	None
Retinal hemorrhages	None
Retinal bleeding	None
Microangiopathic hemolytic anaemia	None
Microangiopathic hemolytic anemia	None
Primary central nervous system lymphoma	None
Primary CNS lymphoma	None
Transient decreased IgE in blood	None
Transient decreased circulating IgE concentration	None
Transient decreased circulating IgE	None
Bruising susceptibility	None
Bruisability	None
Easy bruisability	None
Easy bruising	None
Bruise easily	None
Increased lymphocyte apoptosis	None
Abnormal T cell proliferation	None
Abnormal morphology of erythroid progenitor cell	None
Hematopoietic maturation arrest	None
Haematopoietic maturation arrest	None
Bone marrow maturation arrest	None
Abnormality of T cell physiology	None
Granulocytosis	None
Absent natural antibody to blood group agents	None
Complete or near-complete absence of isohemagglutinins	None
Absent isohemagglutinin level	None
Pulmonary lymphoma	None
Prolonged euglobulin clot lysis time	None
Afibrinogenemia	None
Abnormal natural killer subset distribution	None
Abnormal B cell proliferation	None
Abnormal proportion of class-switched memory B cells	None
Abnormal proportion of CD19+CD27+IgD- cells	None
Polychromasia on peripheral blood smear	None
Polychromasia	None
Disseminated intravascular coagulation	None
Impaired neutrophil killing of staphylococci	None
Megaloblastic erythroid hyperplasia	None
Bone marrow biopsy shows megaloblastic erythroid hyperplasia	None
Circulating nucleated red blood cells	None
Reduced erythrocyte galactose-1-phosphate uridylyltransferase activity	None
Abnormal proportion of CD4+ effector memory cells	None
Abnormal proportion of CD4-positive effector memory cells	None
Abnormal proportion of effector memory CD4-positive, alpha-beta T cells	None
Increased Burr cell count	None
Decreased proportion of CD8-positive, alpha-beta memory T cells	None
Impaired platelet adhesion	None
Impaired thrombocytes adhesion	None
Abnormality of the protein C anticoagulant pathway	None
Blood group antigen abnormality	None
Abnormal proportion of naive CD8 T cells	None
Decreased proportion of transitional B cells	None
Decreased proportion of CD19+CD38+IgM+ cells	None
Reduced proportion of naive T cells	None
Decreased proportion of naive thymus-derived, alpha-beta T cells	None
Decreased proportion of naive T cells	None
Abnormality of the extrinsic pathway	None
Drug-sensitive hemolytic anaemia	None
Drug-sensitive hemolytic anemia	None
Heavy-chain paraproteinemia	None
Prolonged clotting time	None
Prolonged whole-blood clotting time	None
von Willebrand Disease Type II Normandy	None
Impaired binding of factor VIII to VWF	None
Haemoglobin H	None
HbH haemoglobin	None
Hemoglobin H	None
HbH hemoglobin	None
Increased circulating IgD level	None
Elevated serum IgD	None
Elevated IgD	None
Increased levels of IgD	None
Increased IgD level	None
Increased serum IgD	None
Increased circulating IgD concentration	None
IgD hypergammaglobulinemia	None
Abnormal IgG level in blood	None
Abnormal circulating IgG concentration	None
Abnormal circulating IgG level	None
Imbalanced haemoglobin synthesis	None
Imbalanced hemoglobin synthesis	None
Imbalanced Hb synthesis	None
Anaplastic large-cell lymphoma	None
Acute megakaryocytic leukaemia	None
Acute megakaryocytic leukemia	None
AMegL	None
Decreased platelet glycoprotein Ib-IX-V	None
Abnormal partial thromboplastin time	None
Delayed thromboplastin generation	None
Partial thromboplastin time prolonged	None
Prolonged partial thromboplastin time	None
Prolonged PTT	None
Prolonged activated partial thromboplastin time	None
AMoL	None
Acute monocytic leukemia	None
Acute monoblastic leukaemia	None
Acute monoblastic leukemia	None
AML-M5	None
Acute monocytic leukaemia	None
Reduced plasma cell count	None
Hyposegmentation of neutrophil nuclei in peripheral blood	None
Hyposegmentation of neutrophil nuclei	None
Pelger-Huet anomaly	None
Abnormal surface-connected open canalicular system	None
Abnormal proportion of central memory CD4+, alpha-beta T cells	None
Abnormal proportion of CD4+ central memory cells	None
Impaired ristocetin-induced platelet aggregation	None
Bone marrow monocytosis	None
Bone marrow monocytes increased	None
Abnormal platelet ATP dense granule secretion	None
Anisocytosis	None
Unequal size of red blood cells	None
Abnormal factor VIII activity	None
Decreased specific antibody response to protein-conjugated polysaccharide vaccine	None
Increased micromegakaryocyte count	None
Abnormal Hct	None
Abnormal hematocrit	None
Abnormality of granulocytes	None
Abnormal granulocyte morphology	None
Increased circulating IgG subclass	None
Abnormal proportion of CD4+CD29+ cells	None
Abnormal proportion of memory T cells	None
Hypermature neutrophils	None
Hypersegmentation of neutrophil nuclei in peripheral blood	None
Hypersegmentation of neutrophil nuclei	None
Lymph-node hemophagocytosis	None
Eosinophil nuclear hypersegmentation	None
Decreased FOXP3-expressing T cell count	None
Gastrointestinal granulomatosis	None
Abnormal isohemagglutinin level	None
Abnormal level of natural antibody to blood group agents	None
Abnormal natural antibody level to blood group antigens in blood (isohemagglutinin)	None
Defective T cell proliferation	None
Decreased haemoglobin concentration	None
Decreased Hb concentration	None
Decreased hemoglobin concentration	None
Chronic (near) absent IgG2 in blood	None
Chronic (near) absent circulating IgG2	None
Myelodysplasia with sideroblastosis	None
Refractory anaemia with ringed sideroblasts	None
Refractory anemia with ringed sideroblasts	None
Deep venous thrombosis	None
Deep vein thrombosis	None
Multiple deep venous thrombosis	None
Blood clot in a deep vein	None
Abnormal proportion of central memory CD4-positive, alpha-beta T cells	None
Protein C deficiency	None
Reduced protein C activity	None
Decreased platelet thromboxane A2 receptor	None
Abnormal distribution of CD56 bright/dim natural killer cells	None
Abnormal distribution of CD56 bright/dim NK cells	None
Spontaneous hematomas	None
Decreased proportion of CD19+/CD21low B cells	None
Decreased proportion of immature B cells	None
Bleeding after sex	None
Postcoital vaginal bleeding	None
Abnormal eosinophil count	None
Absent platelet dense granules	None
Absent platelet dense bodies	None
Transient decreased IgG2 in blood	None
Transient decreased circulating IgG2	None
Transient decreased circulating IgA	None
Cutaneous T-cell lymphoma	None
Partial absence of specific antibody response to hepatitis B vaccine	None
Lymphocytosis	None
High lymphocyte count	None
Abnormal factor V activity	None
Abnormal coagulation factor V activity	None
Anisopoikilocytosis	None
GI haemorrhage	None
GI hemorrhage	None
Gastrointestinal bleeding	None
Gastrointestinal hemorrhage	None
Gastrointestinal haemorrhage	None
Hypochromia	None
Impaired clot retraction	None
Decreased platelet alpha-2A-adrenergic receptor	None
Elevated erythrocyte adenosine triphosphate concentration	None
Adenosine triphosphate (ATP) high in erythrocytes	None
Partial absence of specific antibody response to Haemophilus influenzae type b (Hib) vaccine	None
Abnormal dense granule content	None
Specific antibody deficiency	None
Decreased circulating level of specific antibody	None
Abnormal specific antibody response	None
Decreased specific antibody in blood	None
Malignant eosinophil proliferation	None
Polyclonal elevation of IgM	None
Hepatic hemophagocytosis	None
Neutrophilia	None
Increased blood neutrophil counts	None
Increased proportion of immature gamma-delta T-lymphocytes	None
Increased proportion of immature gamma-delta T-cells	None
Increased proportion of immature gamma-delat T lymphocytes	None
Increased proportion of immature gamma-delta T cells	None
Elevated proportion of immature gamma-delta T cells	None
Increased proportion of naive B cells	None
Oligoclonal elevated circulating IgE concentration	None
Oligoclonal elevation of circulating IgE	None
Absence of CD4+CD25+ Tregs	None
Absence of CD4+CD25+ T regulatory cells	None
Absence of CD4-positive, CD25-positive regulatory T cells	None
Degmacytes	None
Bite cells	None
Blister cells	None
Macrothrombozytopenia	None
Macrothrombocytopenia	None
Elevated proportion of naive CD8 T cells	None
Increased proportion of naive CD8 T cells	None
Elevated proportion of naive thymus-derived CD8-positive, alpha-beta T cells	None
Decreased proportion of CD4+CD25+ regulatory T cells	None
Decreased proportion of CD4+CD25+ Treg cells	None
Reduced proportion of CD4+CD25+ regulatory T cells	None
Choroid hemorrhage	None
Choroidal haemorrhage	None
Choroid haemorrhage	None
Choroidal hemorrhage	None
Abnormal serum level of immunoglobulin	None
Abnormal immunoglobulin concentration	None
Abnormal circulating immunoglobulin concentration	None
Abnormal serum immunoglobulin levels	None
Immunoglobulin abnormality	None
Abnormal immunoglobulin level	None
Abnormal serum immunoglobulin concentration	None
Increased Hb	None
Increased hemoglobin	None
Increased Hb concentration	None
Increased hemoglobin concentration	None
Increased haemoglobin concentration	None
Increased circulating hemoglobin concentration	None
Increased haemoglobin	None
Increased number of immature red blood cells	None
Increased immature red blood cells	None
Reticulocytosis	None
Increased reticulocytes	None
Increased reticulocyte count	None
Increased mean corpuscular haemoglobin concentration	None
Increased MCHC	None
Increased mean corpuscular hemoglobin concentration	None
Increased MCH	None
Increased mean corpuscular Hb concentration	None
Increased mean corpuscular haemoglobin	None
Oval macrocytosis	None
Decreased specific antibody response to protein vaccine	None
Superficial thrombophlebitis	None
Increased proportion of CD19+/CD21low B cells	None
Increased proportion of immature B cells	None
Exercise-induced hemolysis	None
Decreased proportion of CD3-positive T cells	None
Decreased proportion of CD3+ T cells	None
Whole-immunoglobulin paraproteinemia	None
Impaired neutrophil bactericidal activity	None
Increased proportion autoreactive unresponsive CD21-/low B cells	None
Increased circulating IgG4 level	None
Megakaryocyte nucleus hypolobulation	None
Increased neutrophil nuclear projections	None
Decreased proportion of unswitched memory B cells	None
Reduced proportion of unswitched memory B cells	None
Decreased proportion of non-class-switched memory B cells	None
Nonspherocytic hemolytic anemia	None
Nonspherocytic hemolytic anaemia	None
Abnormality of the intrinsic pathway	None
Internal haemorrhage	None
Internal bleeding	None
Internal hemorrhage	None
Increased anti-parasite IgE antibody level	None
Abnormal proportion of non-class-switched memory B cells	None
Abnormal proportion of unswitched memory B cells	None
Decreased immunoglobulin level in body fluid	None
Macrocytic hemolytic disease	None
Decreased platelet glycoprotein VI	None
Defective lymphocyte apoptosis	None
Decreased lymphocyte apoptosis	None
Elevated immunoglobulin E	None
High immunoglobulin E	None
Increased circulating IgE level	None
Elevated serum IgE	None
Increased circulating IgE concentration	None
Pappenheimer bodies	None
Chronic hemolytic anaemia	None
hemolytic anemia, chronic	None
Chronic hemolytic anemia	None
Dysfibrinogenaemia	None
Dysfibrinogenemia	None
Battle sign	None
Battle sign bruise	None
Battle's sign	None
Factor VIII deficiency	None
Reduced factor VIII activity	None
Abnormality of the voice	None
Voice abnormality	None
Hoarseness	None
Hoarse voice	None
Husky voice	None
Nasal speech	None
Hypernasal voice	None
Nasal voice	None
Hypernasal speech	None
Weak cry	None
Hoarse cry	None
Inability to produce voice sounds	None
Dysphonia	None
Voice change	None
Quiet voice	None
Soft voice	None
Weak voice	None
Hypophonia	None
Aphonia	None
Loss of voice	None
Imperfect vocal cord adduction	None
Abnormal cry	None
High-pitched cry	None
Staccato cry	None
Vocal cord dysfunction	None
Hyponasal speech	None
cat-like cry	None
cri de chat-associated cry	None
Cat cry	None
Wet voice	None
Usual interstitial pneumonia	None
Mucus plug	None
Increased airway neuroendocrine cells	None
Pulmonary nodule	None
Spot on the lung	None
Lung tumour	None
Neoplasm of the lung	None
Lung cancer	None
Lung tumor	None
Repeated pneumothorax	None
Repeated pneumothoraces	None
Decreased RV/TLC ratio	None
AOP	None
Apnea of prematurity	None
Abnormal pulmonary fissure morphology	None
Aplastic/Hypoplastic nasopharyngeal adenoids	None
Adenoids small or absent	None
Nodular-centrilobular with tree-in-bud pattern on pulmonary HRCT	None
Mosaic pulmonary attenuation pattern	None
Pleuritis	None
Pleurisy	None
Inflammation of tissues lining lungs and chest	None
Transudative pleural effusion	None
Pulmonary cylindroma	None
Pulmonary oligemia	None
Pulmonary lymphangiomyomatosis	None
Lymphangioleiomyomatosis	None
Pulmonary myomatosis	None
Combined cystic and ground-glass pattern on pulmonary HRCT	None
Bifid epiglottis	None
Inspiratory crackles	None
Laryngomalacia	None
Softening of voice box tissue	None
Abnormal pulmonary alveolar system morphology	None
Lung adenocarcinoma	None
Absent epiglottis	None
Aplasia of the epiglottis	None
Apneic episodes precipitated by illness, fatigue, stress	None
Episodic apnea induced by febrile illness or stress	None
Abnormal respiratory patterns	None
Abnormal pattern of respiration	None
Unusual breathing patterns	None
Pulmonary sequestration	None
Cystic lung lesion	None
Bronchopulmonary sequestration	None
Bronchomegaly	None
Pulmonary artery intimal thickening	None
Hypocapnia	None
Hypocarbia	None
Reduced carbon dioxide in the blood	None
Irregular septal thickening on pulmonary HRCT	None
Abnormal axonemal organization of respiratory motile cilia	None
Abnormal axonemal organisation of respiratory motile cilia	None
Pulmonary parenchymal band	None
Lung xanthoma	None
Pulmonary xanthoma	None
Pulmonary xanthomatosis	None
Horseshoe lung	None
Perivascular inflammation of arterioles in the pulmonary circulation	None
Perivascular inflammation of pre-capillary pulmonary arteries	None
Perivascular pre-capillary pulmonary artery inflammation	None
Decreased alveolar volume	None
Decreased sensitivity to hypoxaemia	None
Decreased sensitivity to hypoxemia	None
Crazy-paving pattern	None
Crazy paving pattern	None
Crazy paving pattern on pulmonary HRCT	None
Subpleural interstitial thickening	None
Subpleural scarring	None
Acute infectious pneumonia	None
Interstitial pneumonitis	None
Fluid from the pharynx	None
Pharyngeal exudate	None
Pharyngeal fluid	None
Tracheal bleeding	None
Tracheal hemorrhage	None
Intralobular interstitial thickening	None
Malignant cells in pleural fluid	None
Malignant pleural effusion	None
Pulmonary arterial hypertension with lack of acute response to NO challenge	None
Misalignment of the pulmonary veins	None
Decreased pre bronchodilator forced expiratory flow 25-75%	None
Decreased pre-bronchodilator FEF25-75%	None
Decreased prebronchodilator forced expiratory flow 25-75%	None
Decreased pre-bronchodilator forced expiratory flow 25-75%	None
Pulmonary capillary hemangiomatosis	None
Pulmonary hemangiomas	None
Bilateral apical pulmonary fibrosis	None
Pleural plaque	None
Glottic web	None
Laryngeal web	None
Partial laryngeal atresia	None
Laryngeal webs	None
CTRD	None
Complete tracheal ring	None
Complete tracheal ring deformity	None
Complete tracheal rings	None
Underdeveloped nasopharyngeal adenoids	None
Hypoplastic nasopharyngeal adenoids	None
Infracardiac total anomalous pulmonary venous connection	None
Infracardiac total anomalous pulmonary venous connexion	None
Type 3 total anomalous pulmonary venous connection	None
Pulmonary interstitiatial HRCT abnormality	None
Pulmonary interstitial high-resolution computed tomography abnormality	None
Absent outer dynein arms	None
Abnormal sputum	None
Abnormal sputum morphology	None
Diffuse reticular or finely nodular infiltrations	None
Episodic respiratory distress	None
respiratory distress, episodic	None
Episodic difficulty breathing	None
Laryngeal stenosis	None
Spontaneous collapsed lung	None
Spontaneous pneumothorax	None
Dynein arm defect of respiratory motile cilia	None
Reduced maximal inspiratory pressure	None
Abnormality of the pulmonary vasculature	None
Abnormality of the lung blood vessels	None
In situ pulmonary artery thrombosis	None
Rhonchi	None
Intrapulmonary shunting	None
Intrapulmonary shunt	None
Bloody bronchoalveolar lavage fluid	None
Supracardiac total anomalous pulmonary venous connexion	None
Type 1 total anomalous pulmonary venous connection	None
Total anomalous pulmonary venous connection, supracardiac	None
Supracardiac total anomalous pulmonary venous connection	None
Partial anomalous pulmonary venous connection	None
Partial anomalous pulmonary venous return	None
Labored breathing	None
Respiratory difficulties	None
Breathing difficulties	None
Laboured breathing	None
Respiratory distress	None
Recurrent upper respiratory tract infections	None
Recurrent colds	None
Upper respiratory tract infections, recurrent	None
Upper respiratory tract infections	None
Recurrent upper respiratory infections	None
Frequent upper respiratory tract infections	None
Recurrent upper respiratory and lower respiratory infections	None
Recurrent upper respiratory infection	None
Recurrent URI	None
Frequent upper respiratory infections	None
Neonatal breathing dysregulation	None
Impaired breathing in newborn	None
Fungal hyphae in sputum	None
Part-solid pulmonary nodule	None
Abnormal pulmonary lymphatics	None
Chronic lung disease	None
Rhinorrhea	None
Runny Nose	None
Nasal Discharge	None
Elevated functional residual capacity	None
Subsolid pulmonary nodule	None
Posterior pharyngeal cleft	None
Lung segmentation defects	None
Abnormal lung lobation	None
Abnormal pulmonary lobation	None
Defective lung lobation	None
Advanced pneumatization of cranial sinuses	None
Shortened inner dynein arms	None
Paroxysmal nocturnal dyspnea	None
Pharyngeal mass	None
Pulmonary artery atresia	None
Atresia of the pulmonary artery	None
Pulmonary atresia	None
Exogenous lipoid pneumonia	None
Intermittent hyperpnea at rest	None
Pulmonary AV malformation	None
Pulmonary arteriovenous malformation	None
Cavitating pulmonary nodule	None
Tracheal bronchus	None
Intralobular lines	None
Intralobular septal thickening	None
Anomalous pulmonary venous return	None
Apical pulmonary opacity	None
Apical cap	None
Apical pleural thickening	None
Decreased DLCO	None
Decreased diffusing capacity	None
Neoplasia of the nose	None
Nasal tumour	None
Nose cancer	None
Tumor of the nose	None
Nasal neoplasm	None
Nasal tumor	None
Neoplasm of the nose	None
Tumour of the nose	None
Decreased post bronchodilator forced expiratory volume in one second	None
Decreased post-bronchodilator forced expiratory volume in one second	None
Decreased postbronchodilator forced expiratory volume in one second	None
Non-small cell lung carcinoma	None
Non-small cell lung cancer	None
Coughing	None
Cough	None
Absent inner dynein arms	None
Elevated bronchoalveolar lavage fluid neutrophil proportion	None
Elevated level of neutrophils in broncho-alveolar lavage fluid	None
Expiratory crackles	None
Polyalveolar lobe	None
Recurrent sinopulmonary infections	None
Recurrent sinus and lung infections	None
Chronic sinopulmonary infection	None
Lung fibroma	None
Cheyne-Stokes respiration	None
Periodic respiration	None
Cheyne-Stokes breathing	None
Bronchial wall thickening	None
Peribronchial cuffing	None
Peribronchial thickening	None
Ventilator dependence with inability to wean	None
Silent hypoxemia	None
Nodular-perilymphatic pattern on pulmonary HRCT	None
Recurrent sinusitis	None
Recurrent sinus disease	None
Recurrent sinus infections	None
Sinusitis, recurrent	None
Airway mucosal thickening	None
Abnormality of muscles of the pharynx	None
Abnormality of pharynx musculature	None
Abnormal morphology of musculature of pharynx	None
Abnormality of pharyngeal musculature	None
Abnormality of musculature of pharynx	None
Progressive pulmonary function impairment	None
Abnormality of the bronchi	None
Abnormal bronchus morphology	None
Abnormality of lung veins	None
Abnormality of the pulmonary veins	None
Spontaneous neonatal pneumothorax	None
Neonatal pneumothorax	None
Multiple lung cysts	None
Multiple pulmonary cysts	None
Cystic lung disease	None
Aplastic nasopharyngeal adenoids	None
Pulmonary arterial atherosclerosis	None
Recurrent viral upper respiratory tract infections	None
Recurrent bronchitis	None
Bronchitis, recurrent	None
Pulmonary pneumatocele	None
Pulmonary pneumatocoele	None
Purulent sputum	None
Abnormal O2 blood concentration	None
Abnormal blood O2 level	None
Abnormal blood oxygen levels	None
Abnormal blood oxygen level	None
Recurrent bronchiolitis	None
Abnormal alveolar macrophage morphology	None
Recurrent bleeding into lungs	None
Recurrent intrapulmonary hemorrhage	None
Recurrent pulmonary hemorrhage	None
Recurrent intrapulmonary haemorrhage	None
Recurrent pulmonary haemorrhage	None
Fat embolism	None
Pulmonary fat embolism	None
Siderophages in bronchoalveolar fluid	None
Hemosiderin-laden macrophages in bronchoalveolar fluid	None
Accumulation of hemosiderin laden alveolar macrophages	None
Hypoventilation	None
Under breathing	None
Respiratory depression	None
Alveolar hypoventilation	None
Slow breathing	None
Sputum eosinophilia	None
Mass on thoracic imaging	None
Hypersensitivity pneumonitis	None
Abnormal respiratory system morphology	None
Laryngeal cartilage malformation	None
Vocal impairment, severe, due to laryngeal cartilage abnormalities	None
Pleural mass	None
Lung cyst	None
Pulmonary cyst	None
Congenital bronchial atresia	None
Bronchial atresia	None
Abnormality of the upper respiratory tract	None
Upper respiratory tract issues	None
Laryngeal mass	None
Absent/small lungs	None
Aplasia/Hypoplasia of the lungs	None
Absent/underdeveloped lungs	None
Atoll sign	None
Reversed halo sign	None
Central apnea	None
Central apnoea	None
Upper airway obstruction	None
Recurrent pneumonia due to aspiration,	None
Recurrent aspiration pneumonia	None
Asphyxia neonatorum	None
Neonatal asphyxia	None
Abnormal pulmonary artery physiology	None
Primary pulmonary dysgenesis, unilateral	None
Unilateral primary pulmonary dysgenesis	None
Acute bronchitis	None
Paranasal sinus neoplasm	None
Neoplasm of the paranasal sinuses	None
Tumour of the paranasal sinuses	None
Tumor of the paranasal sinuses	None
Late inspiratory crackles	None
Silhouette sign	None
Paraseptal emphysema	None
Distal acinar emphysema	None
Abnormal chest radiograph finding (lung)	None
Abnormal pulmonary thoracic imaging finding	None
Abnormal cell differential of broncho-alveolar fluid	None
Abnormal cellular composition of bronchoalveolar fluid	None
Acinar dysplasia	None
GGO	None
Ground-glass opacification on pulmonary HRCT	None
Ground glass opacities	None
Ground-glass opacification	None
Respiratory insufficiency due to defective ciliary clearance	None
Bilobed right lung	None
Type II pneumocyte hypertrophy	None
Hypertrophic alveolar type II cells	None
Hypertrophic alveolar type II pneumocytes	None
Smoker-inclusions in alveolar macrophages	None
Reticulonodular pattern on pulmonary HRCT	None
Abnormal trachea morphology	None
Abnormality of the trachea	None
Abnormal tracheal morphology	None
Tracheal disease	None
Centriacinar emphysema	None
Centrilobular emphysema	None
Aspiration	None
Pulmonary aspiration	None
Abnormal bronchoalveolar fluid protein level	None
Abnormal biochemical composition of broncho-alveolar fluid	None
Abnormal level of proteins in the broncho-alveolar fluid	None
Diffuse alveolar damage	None
Pulmonary mass	None
Middle mediastinal mass	None
Pleural mesothelioma	None
Absent bronchoalveolar dimeric surfactant-protein B	None
Failure of development of ethmoid sinuses	None
Absent ethmoidal sinuses	None
Agenesis of ethmoid sinuses	None
Missing ethmoid sinuses	None
Shortened outer dynein arms	None
Unusual lung shape	None
Abnormality of the lungs	None
Lung disease	None
Abnormal lung morphology	None
Abnormally shaped lung	None
Abnormality of lung structure	None
Neoplasm of the tracheobronchial system	None
Barking cough	None
Seal-like barking cough	None
Restrictive ventilatory defect	None
Restrictive deficit on pulmonary function tests	None
Spirometric restriction	None
Stiff lung or chest wall causing decreased lung volume	None
Restrictive respiratory disease	None
Restrictive lung disease	None
Restrictive deficit on pulmonary function testing	None
Restrictive respiratory syndrome	None
Restrictive respiratory insufficiency	None
Narrowing of lung artery	None
Pulmonary artery stenosis	None
Decreased maximal oxygen uptake	None
Hyperinflation on pulmonary function test	None
Elevated RV/TLC ratio	None
Overinflation on pulmonary function test	None
Pharyngitis	None
Tracheal calcification	None
Tracheal ectopic calcification	None
Tracheal calcifications	None
Calcification of the trachea	None
Elevated pulmonary artery pressure	None
Elevated lung artery pressure	None
increased pulmonary artery pressure	None
Nodular-centrilobular without tree-in-bud pattern on pulmonary HRCT	None
Neonatal respiratory distress	None
Infantile respiratory distress	None
Respiratory distress, neonatal	None
Newborn respiratory distress	None
Excessive dynamic airway collapse	None
Membranous tracheobronchomalacia	None
Pulmonary bulla	None
Pulmonary bullae	None
Decreased pre bronchodilator forced vital capacity	None
Decreased prebronchodilator forced vital capacity	None
Decreased pre-bronchodilator forced vital capacity	None
Episodic hypoventilation	None
Episodic slow breathing	None
Episodic under breathing	None
Pulmonary bleb	None
Obstructive deficit on pulmonary function testing	None
Reduced FEV1/FVC ratio	None
Obstructive deficit on pulmonary function test	None
Subpleural honeycombing	None
Aplasia/Hypoplasia involving the sinuses	None
Recurrent respiratory infections	None
Susceptibility to respiratory infections	None
Multiple respiratory infections	None
Frequent respiratory infections	None
respiratory infections, recurrent	None
Insufficient response to short acting pulmonary vasodilator	None
Recurrent pharyngitis	None
Recurrent sore throat	None
Pharyngitis, recurrent	None
Hyperhidrosis, episodic	None
Sporadic excessive sweating	None
Episodic hyperhidrosis	None
Congenital scars	None
Congenital absence of skin	None
Absence of part of skin at birth	None
Cutis aplasia	None
Aplasia cutis congenita	None
Coarse hair texture	None
Coarse hair	None
Rough hair texture	None
Harlequin phenomenon	None
Generalized keratosis follicularis	None
Generalised keratosis follicularis	None
Partial absent skin pigmentation	None
Congenital partial leucoderma	None
Congenital partial albinism on face, trunk, or limbs	None
Partial albinism	None
Erythematosquamous plaque	None
Psoriasiform lesion	None
Psoriatic-like lesion	None
Erythemato-squamous plaque	None
Agenesis of eyebrows	None
Loss of eyebrows	None
Missing eyebrows	None
Absent eyebrow	None
Aplasia of eyebrows	None
Absent eyebrows	None
Failure of development of eyebrows	None
Pterygia	None
Pterygium	None
Sparse facial hair	None
Indurated nodule	None
Abnormality of upper eyelashes	None
Thin fingernail	None
Absent inner eyelashes	None
Periauricular fistulas	None
Pits around the ear	None
Periauricular sinus	None
Periauricular skin pits	None
Periauricular pits	None
Periauricular earpits	None
Yellow-orange papule	None
Yellow papule	None
Abnormal nail surface	None
Shoulder dimples	None
Bi-acromial dimples	None
Shoulder dimple	None
Acromial dimple	None
Absent keratohyalin granules	None
Telangiectasia	None
Telangiectases	None
Spider veins	None
Aplasia/Hypoplasia of the nails	None
Absent/hypoplastic nails	None
Absent/small nails	None
Absent/underdeveloped nails	None
Nail aplasia/hypoplasia	None
Abnormality of the axillary hair	None
Nappy scalp hair texture	None
Afro-textured scalp hair	None
Kinky scalp hair texture	None
Woolly scalp hair	None
Wooly scalp hair	None
Widened atrophic scar	None
Abnormality of the palmar creases	None
Abnormality of the palm lines	None
Hypohidrosis or hyperhidrosis	None
Lack of sweating or excessive sweating	None
Increased nail curvature	None
Nail overcurvature	None
Hyperconvex nail	None
Cutaneous angiolipomas	None
Minimal fat below the skin	None
Minimal subcutaneous fat	None
Koebner Phenomenon	None
Pyramidal skinfold extending from the base to the top of the nails	None
Large keratohyaline granules	None
Patchy hypopigmentation of hair	None
Unusual hairline with hair growth on temples extending to lateral eyebrow	None
Extension of hair growth on temples to lateral eyebrow	None
Absent thumbnail	None
Fordyce angiokeratoma	None
Thickened elastic fibers in the dermis	None
Thickened elastic fibres in the dermis	None
Absent eccrine sweat glands	None
Aplasia of the eccrine sweat glands	None
Silvery-gray hair	None
Silver-gray hair colour	None
Silver-gray hair	None
Silver-gray hair color	None
Nodular melanoma	None
Nevus flammeus of the forehead	None
Port-wine stain on forehead	None
Hyperpigmented streaks	None
Flattened and twisted hair	None
Pili torti	None
Proximal scleroderma	None
Skin dimples	None
Skin dimple	None
Urate tophus	None
Urate tophi	None
Thoracic hypertrichosis	None
Central cyanosis	None
Thick skin around nails	None
Circumungual hyperkeratosis	None
Palmoplantar cutis gyrata	None
Cutis gyrata of palms and soles	None
Abnormality of the posterior hairline	None
Abnormality of hairline at back of head	None
Anhidrosis	None
Anhydrosis	None
Lack of sweating	None
Sweating dysfunction	None
Sudomotor dysfunction	None
Hyperelastic face skin	None
Stretchable face skin	None
Hyperextensible skin of face	None
Inelastic skin	None
Dermatomegaly	None
Lax skin	None
Cutaneous laxity	None
Loose and inelastic skin	None
Elastolysis	None
Generalised elastolysis	None
Skin laxity	None
Cutis laxa	None
Hanging skin	None
Dermatochalasia	None
Hypoelastic skin	None
Chalazoderma	None
Loose skin	None
Generalized elastolysis	None
Cutaneous myxoma	None
Blistering by anatomical location	None
Connective tissue nevi	None
Pustulosis of palms and soles	None
Palmoplantar pustules	None
Palmoplantar pustulosis	None
Pustulosis palmaris et plantaris	None
Linear C3 deposits along the epidermal basement membrane zone	None
Dorsal hirsutism	None
Acne inversa	None
Pyoderma fistulans significa	None
Smoker's boils	None
Verneuil's disease	None
Hidradenitis suppurativa	None
Tumor of the skin	None
Tumour of the skin	None
Dermatological tumors	None
Skin tumours	None
Dermatological tumours	None
Neoplasia of the skin	None
Skin cancer (non-melanoma)	None
Neoplasm of the skin	None
Skin tumors	None
Skin cancer	None
Absent pigmentation of chest	None
Lack of skin coloring on chest	None
Lack of skin colouring on chest	None
Rope sign	None
Palmar oedema	None
Palmar edema	None
Hyperkeratosis follicularis	None
Follicular hyperkeratosis	None
Absent facial hair	None
Translucent skin	None
Dermal translucency	None
Abnormal subungual morphology	None
Abnormality of the subungual region	None
Elevated dermal desmosine content	None
Invasive dermatophyte infection	None
Profuse pigmented skin lesions	None
Fungal infection of the nail	None
Chronic monilial nail infection	None
Patchy alopecia	None
Alopecia areata	None
Patchy baldness	None
Molluscum contagiosum	None
Porokeratosis	None
Plantar telangiectasia	None
Teleangiectases of soles	None
Telangiectases of soles	None
Plantar teleangiectasia	None
