Pneumomediastinum	HP:0025421
Focal sensory seizure with hot-cold sensations	None
Spasticity of pharyngeal muscles	None
Psychotic mentation	None
Neonatal unilateral epileptic spasm	None
Abnormal play	None
Cortical gyral simplification	None
Simplified gyral pattern	None
Focal impaired awareness clonic seizure	None
Transient global amnesia	None
Rosenthal fibres	None
Rosenthal fibers	None
Decrease in blood pressure upon standing up	None
Orthostatic hypotension	None
Postural hypotension	None
Epstein-Barr virus encephalitis	None
EBV encephalitis	None
Neonatal electroclinical motor seizure with automatism	None
Neonatal electro-clinical motor seizure with automatism	None
Overly formal/pedantic language	None
Left-right confusion	None
Right-left confusion	None
Right-left disorientation	None
Left-right disorientation	None
Entrapment neuropathy	None
Nodular subcortical heterotopia in peritrigonal regions	None
Folie à deux	None
Shared psychosis	None
Increased CSF N-acetylaspartic acid concentration	None
Increased N-acetyl-L-aspartic acid levels in CSF	None
Increased NAA levels in CSF	None
Increased N-acetylaspartate levels in CSF	None
Increased N-acetyl aspartic acid levels in CSF	None
Increased N-acetyl aspartate levels in CSF	None
Neoplasm of the autonomic nervous system	None
Myeloid leukaemia	None
Myeloid leukemia	None
Ovalocytes	None
Hereditary elliptocytosis	None
Elliptocyte	None
Ovalocytosis	None
Elliptocytosis	None
Bleeding requiring red cell transfusion	None
Abnormal number of erythroid precursors	None
Antithrombin III deficiency	None
Anti-thrombin III deficiency	None
Reduced antithrombin III activity	None
Decreased antithrombin III	None
Atypical elliptocytosis	None
Increased circulating IgG4 level	None
Panhypogammaglobulinaemia	None
Panypogammaglobulinemia	None
Panhypogammaglobulinemia	None
Impaired phorbol myristate acetate-induced platelet aggregation	None
Abnormality of cells of the granulocytic lineage	None
Abnormal granulocytopoietic cell morphology	None
Defective B cell activation	None
Chronic (near) absent total IgG in blood	None
Chronic absent circulating total IgG	None
Impaired calcium ionophore-induced platelet aggregation	None
Impaired Ca ionophore-induced platelet aggregation	None
Impaired Ca2+ ionophore-induced platelet aggregation	None
Blood clot in cerebral vein	None
Cerebral venous thrombosis	None
Cerebral thrombosis	None
Cerebral vein thrombosis	None
Decreased erythrocyte fructose-1,6-bisphosphate aldolase activity	None
Abnormal circulating IgA concentration	None
Abnormal IgA level in blood	None
Abnormal circulating IgA level	None
Clonal T cell receptor rearrangement	None
Increased proportion of CD8-positive, alpha-beta memory T cells	None
Abnormal L-selectin shedding	None
Increased anti-fungi IgE antibody level	None
Increased anti-fungal IgE antibody level	None
Increased anti-fungus IgE antibody level	None
Increased number of B cells	None
Increase in B cell number	None
Increase in B cell count	None
Increased B cell count	None
Plasmacytosis	None
Michaelis-Gutmann bodies	None
Malakoplakia	None
Fetal extra-axial hemorrhage	None
Reduced erythrocyte uroporphyrinogen III cosynthase activity	None
Left ventricular thrombus	None
Abnormal IgG level in blood	None
Abnormal circulating IgG concentration	None
Abnormal circulating IgG level	None
Increased factor VIII activity	None
Elevated factor VIII level	None
Cutaneous T-cell lymphoma	None
Blood group antigen abnormality	None
Abnormal vaginal bleeding	None
Decreased platelet thromboxane A2 receptor	None
Abnormal number of T cells	None
Abnormality of T cell number	None
Abnormal T cell count	None
Abnormal lymphocyte proliferation	None
Acute disseminated intravascular coagulation	None
Abnormal dendritic cell count	None
Cerebral granulomatosis	None
Sea-blue histiocyte	None
Sea-blue histiocytosis	None
Absent natural antibody to blood group agents	None
Complete or near-complete absence of isohemagglutinins	None
Absent isohemagglutinin level	None
Lipogranulomatosis	None
Normochromic anemia	None
Normochromic anaemia	None
Decreased proportion of CD19+/CD21low B cells	None
Decreased proportion of immature B cells	None
Abnormal T cell subset distribution	None
Abnormal macrophage count	None
Abnormal platelet function	None
Increased anti-house dust IgE antibody level	None
Increased anti-house dust mite IgE antibody level	None
Increased level of anti-house dust IgE antibody	None
Elevated proportion of naive CD8 T cells	None
Increased proportion of naive CD8 T cells	None
Elevated proportion of naive thymus-derived CD8-positive, alpha-beta T cells	None
Complete or near-complete absence of specific antibody response to unconjugated pneumococcus vaccine	None
Increased hepatitis A virus antibody level	None
Elevated erythrocyte inosine triphosphate concentration	None
Intestinal haemorrhage	None
Intestinal bleeding	None
Intestinal hemorrhage	None
Subretinal hemorrhage	None
Subretinal heme	None
Subretinal haemorrhage	None
Partial IgA deficiency	None
Increased proportion of effector memory CD4-positive, alpha-beta T cells	None
Increased proportion of CD25+ mast cells	None
Reduced erythrocyte inosine triphosphatase activity	None
Abnormal B cell proliferation	None
Gastric lymphoma	None
Primary gastric lymphoma	None
Monocytopenia	None
Low blood monocyte number	None
Abnormal CD4-positive, CD25-positive, alpha-beta regulatory T cell count	None
Impaired leukocyte adhesion	None
Reduced alpha/beta synthesis ratio	None
Reduced erythrocyte glutathione reductase activity	None
Cerebellar hemorrhage	None
Cerebellar haemorrhage	None
Reduction in B cell number	None
B cell lymphopenia	None
B lymphocytopenia	None
Low B cell count	None
Decreased B cell count	None
B cell deficiency	None
Abnormal IgE level in blood	None
Abnormal circulating IgE level	None
Abnormal circulating IgE concentration	None
Prolonged bleeding following procedure	None
Recurrent epistaxis	None
Recurrent epistaxes	None
Spontaneous, recurrent epistaxis	None
Recurring nosebleed	None
Spontaneous, recurrent nosebleed	None
T-cell acute lymphoblastic leukemias	None
Phlebolith	None
Abnormal neutrophil cell number	None
Abnormal neutrophil count	None
Refractory anemia	None
Refractory anaemia	None
Increased mean corpuscular haemoglobin concentration	None
Increased MCHC	None
Increased mean corpuscular hemoglobin concentration	None
Increased MCH	None
Increased mean corpuscular Hb concentration	None
Increased mean corpuscular haemoglobin	None
Gamma-glutamyl cysteine synthetase low in erythrocytes	None
Reduced erythrocyte gamma-glutamyl cysteine synthetase activity	None
Impaired Ag-specific T cell proliferation	None
Reduced antigen-specific T cell proliferation	None
Impaired cellular adaptive immune response	None
Impaired activated T cell proliferation	None
Antigen-specific T cell proliferation defect	None
Chronic myelomonocytic leukemia	None
Chronic myelomonocytic leukaemia	None
Increased circulating IgD level	None
Elevated serum IgD	None
Elevated IgD	None
Increased levels of IgD	None
Increased IgD level	None
Increased serum IgD	None
Increased circulating IgD concentration	None
IgD hypergammaglobulinemia	None
Decreased proportion of naive B cells	None
Erythrocytosis	None
Abnormally shaped erythrocytes	None
Polyglobulia	None
Increased red blood cells	None
Polycythemia	None
Decreased proportion of CD3-positive T cells	None
Decreased proportion of CD3+ T cells	None
Chronic (near) absent IgG2 in blood	None
Chronic (near) absent circulating IgG2	None
Elevated red cell adenosine deaminase activity	None
Decreased IgM	None
Decreased circulating total IgM	None
IgM deficiency	None
Decreased IgM level	None
Reduced IgM levels	None
von Willebrand Disease Type II Normandy	None
Impaired binding of factor VIII to VWF	None
Monoclonal elevation of IgG	None
Acute lymphatic leukaemia	None
Acute lymphocytic leukemia	None
Acute lymphatic leukemia	None
Acute lymphoid leukaemia	None
Acute lymphoblastic leukaemia	None
Acute lymphoblastic leukemia	None
Acute lymphocytic leukaemia	None
Acute lymphoid leukemia	None
Monoclonal elevation of IgG kappa chain	None
Decreased proportion of gammadelta T cells	None
Decreased proportion of gamma-delta T lymphocytes	None
Decreased proportion of gamma-delta T-cells	None
Reduced proportion of gamma-delta T cells	None
Decreased proportion of gamma-delta T cells	None
Decreased proportion of gamma-delta T-lymphocytes	None
Decreased haemoglobin concentration	None
Decreased Hb concentration	None
Decreased hemoglobin concentration	None
Increase in T cell count	None
Increased T cell count	None
Increase in T cell number	None
Abnormal proportion of CD4-positive helper T cells	None
Abnormal shape of platelets	None
Abnormal platelet morphology	None
Hepatic granulomatosis	None
Decreased specific pneumococcal antibody level	None
Low pneumococcal antibody titer	None
Specific pneumococcal antibody deficiency	None
Partial absence of isohemagglutinins	None
Decreased natural antibody to blood group agents	None
Reduced isohemagglutinin level	None
Persistence of hemoglobin F	None
Increased hemoglobin F	None
Persistence of HbF	None
Increased haemoglobin F	None
Persistence of haemoglobin F	None
Oligoclonal T cell expansion	None
Excessive bleeding from superficial cuts	None
Increased anti-dust mite IgE antibody level	None
Increased level of anti-dust mite IgE antibody	None
Granulocytosis	None
Polyclonal elevated circulating IgE concentration	None
Battle sign	None
Battle sign bruise	None
Battle's sign	None
Palpable purpura	None
Abnormal factor VIII activity	None
Increased anti-plant product IgE antibody level	None
Preterm intraventricular haemorrhage	None
Preterm intraventricular hemorrhage	None
Decreased IgG subclass level in blood	None
Decreased circulating IgG subclass level	None
Decreased circulating IgG subclass concentration	None
Elevated natural killer cell count	None
Microangiopathic hemolytic anaemia	None
Microangiopathic hemolytic anemia	None
Transient decreased circulating IgD	None
Transient decreased IgD in blood	None
Abnormal platelet dense granule secretion	None
Aplastic anaemia	None
Aplastic anemia	None
Impaired neutrophil bactericidal activity	None
Anemia of inadequate production	None
Dyserythropoietic anaemia	None
Anaemia of inadequate production	None
Anemia, dyserythropoietic	None
Ineffective erythropoiesis	None
Defective erythropoiesis	None
Dyserythropoietic anemia	None
Increased circulating IgG1 level	None
Transient decreased IgG2 in blood	None
Transient decreased circulating IgG2	None
Abnormal platelet dense granule ATP/ADP ratio	None
Haemoglobin H	None
HbH haemoglobin	None
Hemoglobin H	None
HbH hemoglobin	None
Paraproteinemia	None
Monoclonal hypergammaglobulinemia	None
Abnormal granulocyte count	None
Abnormal proerythroblast morphology	None
Drug-induced agranulocytosis	None
Transient decreased circulating IgG4	None
Transient decreased IgG4 in blood	None
Increased circulating IgG3 level	None
Abnormal proportion of naive thymus-derived, alpha-beta T cells	None
Abnormal naive T cell proportion	None
Abnormal proportion of naive T cells	None
Heavy-chain paraproteinemia	None
Enhanced ristocetin cofactor assay activity	None
Giant neutrophil granules	None
Imbalanced haemoglobin synthesis	None
Imbalanced hemoglobin synthesis	None
Imbalanced Hb synthesis	None
Bone marrow granuloma	None
Elevated proportion of CD4-positive T cells	None
Increased proportion of CD4-positive, alpha-beta T cells	None
Increased proportion of CD4+ T cells	None
Increased proportion of CD4-positive T cells	None
Abnormality of B cell physiology	None
Reduced B cell function	None
Abnormal plasma cell count	None
Hemophagocytosis	None
Increased RBC distribution width	None
Increased red blood cell distribution width	None
Reduced proportion of CD4-negative, CD8-negative, alpha-beta regulatory T cells	None
Plasma factor V elevated	None
Elevated factor V activity	None
Elevated coagulation factor V activity	None
Recurrent thromboembolic disease	None
Recurrent thromboembolism	None
Low blood cell count	None
Pancytopenia	None
Pancytopaenia	None
Abnormal Hct	None
Abnormal hematocrit	None
Decreased RBC count	None
Decreased red blood cell count	None
Methemoglobinemia	None
Megaloblastic erythroid hyperplasia	None
Bone marrow biopsy shows megaloblastic erythroid hyperplasia	None
Extradural haematoma	None
Extradural hematoma	None
Epidural haematoma	None
Epidural haemorrhage	None
Epidural hematoma	None
Epidural hemorrhage	None
Abnormal number of dense granules	None
Ph-positive acute lymphoblastic leukaemia	None
Philadelphia-positive acute lymphoblastic leukemia	None
Ph-positive acute lymphoblastic leukemia	None
Philadelphia-positive acute lymphoblastic leukaemia	None
Specific anti-polysaccharide antibody deficiency	None
Decreased specific anti-polysaccharide antibody level	None
Low specific anti-polysaccharide antibody titer	None
Depressed antibody response to polysaccharide antigens	None
Reduced prothrombin antigen	None
Splenic hemophagocytosis	None
Spleen hemophagocytosis	None
Thiamine-responsive megaloblastic anemia	None
Thiamine-responsive megaloblastic anaemia	None
Histiocytosis	None
Cancer of lymphatic system	None
Lymphoma	None
Low fibrinogen level	None
Hypofibrinogenemia	None
Low fibrinogen activity	None
TMD	None
Transient leukaemia of Down syndrome	None
Transient myeloproliferative disorder	None
Transient myeloproliferative syndrome	None
Transient leukemia of Down syndrome	None
Reduced natural killer cell number	None
Reduced natural killer cell count	None
Reduced NK cell number	None
Chronic absent circulating IgE	None
Chronic (near) absent IgE in blood	None
Abnormal dense granule content	None
Gamma heavy-chain disease	None
IgG heavy chain paraproteinemia	None
Granulocytopenia	None
Compensated hemolytic anemia	None
Compensated hemolytic anaemia	None
Non-Hodgkin lymphoma	None
Defective platelet aggregation	None
Impaired platelet aggregation	None
Deficient platelet aggregation	None
Platelet aggregation defect	None
Normochromic microcytic anemia	None
Normochromic microcytic anaemia	None
Thrombophlebitis	None
Hb Barts	None
Hemoglobin Barts	None
Haemoglobin Barts	None
Erythrocyte inclusion bodies	None
Prolonged bleeding following circumcision	None
Abnormal macrophage morphology	None
Abnormality of histiocytes	None
Abnormality of macrophages	None
Abnormal blood coagulation studies	None
Coagulation abnormality	None
Blood coagulation disorder	None
Coagulation abnormalities	None
Abnormality of coagulation	None
Haemorrhagic disorders	None
Monoclonal elevation of IgG light chain	None
Abnormal proportion of naive B cells	None
Absent microvilli on the surface of peripheral blood lymphocytes	None
Decreased proportion of marginal zone B cells	None
T cell lymphoma	None
T-cell lymphoma	None
Hemorrhagic diathesis	None
Bleeding tendency	None
Bleeding diathesis	None
Abnormal bleeding	None
Black faeces	None
Black feces	None
Melena	None
Increased proportion of gamma-delta T-lymphocytes	None
Increased proportion of gamma-delta T lymphocytes	None
Increased proportion of gamma-delta T-cells	None
Increased proportion of gammadelta T cells	None
Increased proportion of gamma-delta T cells	None
Elevated proportion of gamma-delta T cells	None
Abnormality of bone marrow stromal cells	None
Grade III preterm intraventricular haemorrhage	None
Grade III preterm intraventricular hemorrhage	None
Increased anti-parasite IgE antibody level	None
Decreased circulating IgG1 level	None
Decreased IgG1 level in blood	None
Decreased circulating IgG1 concentration	None
Abnormal CD69 upregulation upon TCR activation	None
Abnormal platelet lysosome secretion	None
Purpura	None
Red or purple spots on the skin	None
Blood spots	None
Increased proportion of HLA DR+ T cells	None
Increased anti-dairy protein IgE antibody level	None
Increased anti-dairy IgE antibody level	None
PAS-positive lymphocyte vacuolization	None
Megakaryocyte dysplasia	None
Dysmegakaryopoiesis	None
Bone marrow xanthomatosis	None
Bone marrow xanthomas	None
Abnormal proportion of CD4-positive T cells	None
Abnormal proportion of CD4+ T cells	None
Abnormal proportion of CD4-positive, alpha-beta T cells	None
Juvenile myelomonocytic leukaemia	None
Juvenile myelomonocytic leukemia	None
Prepartum haemorrhage	None
Prepartum hemorrhage	None
Antepartum hemorrhage	None
Antepartum haemorrhage	None
Abnormal platelet alpha granule secretion	None
Polychromasia on peripheral blood smear	None
Polychromasia	None
Reduced erythrocyte volume	None
Microcytosis	None
Decreased MCV	None
Decreased mean corpuscular volume	None
Decreased T-cell activation	None
Defective T cell activation	None
Decreased T-lymphocyte activation	None
Profound depletion of T4+ lymphocytes	None
Decreased T lymphocyte activation	None
Decreased T cell activation	None
Splenic granulomatosis	None
Hypochromia	None
Megakaryocytopenia	None
Megakaryocytes decreased im bone marrow	None
Elevated circulating D-dimer concentration	None
Elevated D-dimers	None
Elevated fibrin degradation fragment concentration	None
Vocal cord paresis	None
Hoarse voice due to vocal cord paresis	None
Weakness of the vocal cords	None
Vocal cord paresis in severe cases	None
Laryngeal paralysis	None
Vocal cord paralysis	None
Inability to move vocal cords	None
Abnormality of the voice	None
Voice abnormality	None
Hoarseness	None
Hoarse voice	None
Husky voice	None
Nasal speech	None
Hypernasal voice	None
Nasal voice	None
Hypernasal speech	None
Weak cry	None
Hoarse cry	None
Inability to produce voice sounds	None
Dysphonia	None
Voice change	None
Quiet voice	None
Soft voice	None
Weak voice	None
Hypophonia	None
Aphonia	None
Loss of voice	None
Imperfect vocal cord adduction	None
Pseudobulbar paralysis	None
Pseudobulbar syndrome	None
Pseudobulbar palsy	None
Unilateral paralysis of the vocal cord	None
Unilateral vocal cord paralysis	None
Speech articulation difficulties	None
Laryngeal dystonia	None
Spasmodic dysphonia	None
Bilateral vocal cord paralysis	None
Unilateral vocal cord paresis	None
Bilateral vocal cord paresis	None
Abnormal cry	None
High-pitched cry	None
Staccato cry	None
Vocal cord dysfunction	None
Hyponasal speech	None
cat-like cry	None
cri de chat-associated cry	None
Cat cry	None
Pronunciation difficulties	None
Vowel expressive impediment	None
Consonant expressive impediment	None
Wet voice	None
Pulmonary capillary hemangiomatosis	None
Pulmonary hemangiomas	None
Abnormal larynx morphology	None
Transient pulmonary infiltrates	None
Spontaneous collapsed lung	None
Spontaneous pneumothorax	None
Haemoptysis	None
Hemoptysis	None
Coughing up blood	None
Coughing up blood or blood-stained mucus	None
Abnormal aryepiglottic folds	None
Abnormal aryepiglottic fold morphology	None
Abnormality of the aryepiglottic fold	None
Superior mediastinal mass	None
Decreased RV/TLC ratio	None
Breathing dysregulation	None
Laryngotracheoesophageal cleft i	None
Laryngeal cleft	None
Laryngotracheal cleft	None
Airway casts	None
Bronchomegaly	None
Hypocapnia	None
Hypocarbia	None
Reduced carbon dioxide in the blood	None
Abnormal breath sound	None
Abnormal lung auscultation finding	None
Tracheal rupture	None
Bifid epiglottis	None
Respiratory infections in early life	None
Chronic pulmonary obstruction	None
COPD	None
Chronic obstructive pulmonary disease	None
Malignant cells in pleural fluid	None
Malignant pleural effusion	None
Peribronchovascular interstitial thickening	None
Abnormal central microtubular pair morphology of respiratory motile cilia	None
Fibrocystic lung disease	None
Episodic hyperventilation	None
Intermittent overbreathing	None
Intermittent hyperventilation	None
Decreased vital capacity	None
Reduced vital capacity	None
Late inspiratory crackles	None
Subpleural curvilinear line	None
Milky appearance of bronchoalveolar lavage fluid	None
Fat embolism	None
Pulmonary fat embolism	None
Eosinophilic pulmonary infiltration	None
Pulmonary eosinophilic infiltration	None
Pulmonary eosinophilia	None
Pulmonary eosinophilic infiltrate	None
Eosinophilic pneumonia	None
Neoplasm of the tracheobronchial system	None
Sudden episodic apnea	None
Decreased KCO	None
Abnormal pulmonary vein physiology	None
Reticulonodular pattern on pulmonary HRCT	None
Pulmonary artery dilatation	None
Tracheomegaly	None
Bronchiectasis	None
Permanent enlargement of the airways of the lungs	None
Hypoxia	None
Hypoxemia	None
Low blood oxygen level	None
Posterior pharyngeal cleft	None
Lung adenocarcinoma	None
Hypersensitivity pneumonitis	None
Sleep hypoxemia	None
Nocturnal hypoxemia	None
Sleep-related hypoxemia	None
Abnormality of lung veins	None
Abnormality of the pulmonary veins	None
Central apnea	None
Central apnoea	None
Posterior mediastinal mass	None
Apical pulmonary opacity	None
Apical cap	None
Apical pleural thickening	None
Abnormality of the pulmonary vasculature	None
Abnormality of the lung blood vessels	None
Bronchiolitis	None
Lung xanthoma	None
Pulmonary xanthoma	None
Pulmonary xanthomatosis	None
Dependence on diaphragmatic breathing	None
Intercostal muscle weakness	None
Muscle weakness between ribs	None
Abnormal nasal mucus secretion	None
Increased KCO	None
Bradypnea	None
Opacified paranasal sinuses	None
Paranasal sinuses opacification	None
Paranasal sinuses opacified	None
Pulmonary artery hypertension	None
Primary pulmonary hypertension	None
Pulmonary arterial hypertension	None
Increased blood pressure in blood vessels of lungs	None
Narrowing of windpipe	None
Tracheal stenosis	None
Pharyngeal edema	None
Pharyngeal oedema	None
Throat swelling	None
Swollen throat	None
Abnormal pulmonary situs morphology	None
Abnormality of pulmonary situs	None
Respiratory abnormality	None
Abnormality of the respiratory system	None
Ciliary dyskinesia	None
Lack of coordinated beating of respiratory cilia	None
Pleural cyst	None
Accessory cardiac bronchus	None
Pharyngodynia	None
Throat discomfort	None
Pharyngalgia	None
Throat pain	None
Sore throat	None
Lung infiltrates	None
Pulmonary infiltrates	None
Pulmonic infiltration	None
Purulent sputum	None
Neonatal breathing dysregulation	None
Impaired breathing in newborn	None
Collapsed lung	None
Pneumothorax	None
Decreased volume of paranasal sinus	None
Decreased growth of paranasal sinus	None
Paranasal sinus hypoplasia	None
Hypotrophic paranasal sinus	None
Underdevelopment of paranasal sinus	None
Small paranasal sinus	None
Decreased size of paranasal sinus	None
Decreased pneumatization of paranasal sinus	None
Atelectasis of paranasal sinus	None
In situ pulmonary artery thrombosis	None
Decreased attenuation pattern on pulmonary HRCT	None
Black lung pattern on pulmonary HRCT	None
Subpleural honeycombing	None
Total anomalous pulmonary venous connection	None
Total anomalous pulmonary venous drainage	None
Total anomalous pulmonary venous return	None
Aplastic nasopharyngeal adenoids	None
Abnormal size of nasopharyngeal adenoids	None
Pulmonary interstitiatial HRCT abnormality	None
Pulmonary interstitial high-resolution computed tomography abnormality	None
Pulmonary necrosis	None
Recurrent streptococcus pneumoniae infections	None
Nodular pattern on pulmonary HRCT	None
Absent outer dynein arms	None
Perifissural pulmonary nodule	None
Aspirin-induced asthma	None
Exudative pleural effusion	None
Anomalous origin of left pulmonary artery from ascending aorta	None
Pulmonary chondroma	None
Caseating pulmonary granulomatosis	None
Necrotizing pulmonary granulomatosis	None
Paraseptal emphysema	None
Distal acinar emphysema	None
Advanced pneumatization of cranial sinuses	None
Perivascular inflammation of arterioles in the pulmonary circulation	None
Perivascular inflammation of pre-capillary pulmonary arteries	None
Perivascular pre-capillary pulmonary artery inflammation	None
Abnormal KCO	None
Type II pneumocyte hyperplasia	None
Bronchial breath sound	None
Absent/hypoplastic paranasal sinuses	None
Abnormal sputum	None
Abnormal sputum morphology	None
Abnormality of cricoid cartilage	None
Abnormal cricoid cartilage morphology	None
Intralobular interstitial thickening	None
Intermittent episodes of respiratory insufficiency due to muscle weakness	None
Intermittent hyperpnea at rest	None
Pulmonary situs ambiguus	None
Congenital alveolar dysplasia	None
Recurrent bleeding into lungs	None
Recurrent intrapulmonary hemorrhage	None
Recurrent pulmonary hemorrhage	None
Recurrent intrapulmonary haemorrhage	None
Recurrent pulmonary haemorrhage	None
Decreased pre bronchodilator forced expiratory flow 25-75%	None
Decreased pre-bronchodilator FEF25-75%	None
Decreased prebronchodilator forced expiratory flow 25-75%	None
Decreased pre-bronchodilator forced expiratory flow 25-75%	None
Abnormal saccharine test	None
Impaired nasal mucociliary clearance	None
Platypnea	None
Increased DLCO	None
Increased diffusing capacity	None
Bronchocentric granulomatosis	None
Air bronchogram	None
Anterior mediastinal mass	None
Acute respiratory distress syndrome	None
ARDS	None
Polyalveolar lobe	None
Lung segmentation defects	None
Abnormal lung lobation	None
Abnormal pulmonary lobation	None
Defective lung lobation	None
GGO	None
Ground-glass opacification on pulmonary HRCT	None
Ground glass opacities	None
Ground-glass opacification	None
Absent epiglottis	None
Aplasia of the epiglottis	None
Panacinar emphysema	None
Partial or complete collapse of part or entire lung	None
Atelectasis	None
Pulmonary atelectasis	None
Increased pulmonary vascular resistance	None
Diffuse alveolar hemorrhage	None
Diffuse alveolar haemorrhage	None
Extrapulmonary lobar sequestration	None
Extralobar sequestration	None
Extrapulmonary sequestrum	None
Diaphragmatic sequestrum	None
Abnormality of sinus frontalis	None
Abnormality of the forehead sinus	None
Abnormality of frontal sinus	None
Broncholith	None
Squawks	None
Abnormal RV/TLC ratio	None
Pulmonary oligemia	None
Abnormal bronchoalveolar lavage fluid morphology	None
Decreased respiratory function due to muscle weakness	None
Respiratory distress due to muscle weakness	None
Respiratory muscle weakness	None
Respiratory insufficiency due to muscle weakness	None
Respiratory failure due to muscle weakness	None
Decreased lung function due to weak breathing muscles	None
Abnormal O2 blood concentration	None
Abnormal blood O2 level	None
Abnormal blood oxygen levels	None
Abnormal blood oxygen level	None
Inspiratory stridor	None
Decreased maximal oxygen uptake	None
Pulmonary situs ambiguus with bilateral morphologic left lungs	None
Pharyngeal mass	None
Decreased post-bronchodilator FEF25-75%	None
Decreased post bronchodilator forced expiratory flow 25-75%	None
Decreased post-bronchodilator forced expiratory flow 25-75%	None
Decreased postbronchodilator forced expiratory flow 25-75%	None
Coughing	None
Cough	None
Mediastinal mass	None
Abnormal chest radiograph finding (lung)	None
Abnormal pulmonary thoracic imaging finding	None
Apneic episodes precipitated by illness, fatigue, stress	None
Episodic apnea induced by febrile illness or stress	None
Dminished respiratory ciliary beat frequency	None
Reduced respiratory ciliary beating frequency	None
Nodular septal thickening on pulmonary HRCT	None
Unusual lung shape	None
Abnormality of the lungs	None
Lung disease	None
Abnormal lung morphology	None
Abnormally shaped lung	None
Abnormality of lung structure	None
Pulmonary capillary angioectasia	None
Atypical perifissural nodule	None
Abnormal connection between trachea and esophagus	None
Abnormal connection between trachea and oesophagus	None
Tracheoesophageal fistula	None
Aplastic/Hypoplastic nasopharyngeal adenoids	None
Adenoids small or absent	None
Alveolar septal thickening	None
Adenoids large	None
Adenoid hypertrophy	None
Increased size of nasopharyngeal adenoids	None
Abnormality of the sinuses of the head	None
Abnormality of the sinuses	None
Abnormality of the paranasal sinuses	None
Abnormal paranasal sinus morphology	None
Pleural incrassation	None
Pleural thickening	None
Sputum eosinophilia	None
Decreased size of nasopharyngeal adenoids	None
Pleuropulmonary blastoma	None
bone larynx	None
Fractured larynx	None
Pleural cobblestoning	None
Anomalous origin of one pulmonary artery from ascending aorta	None
Hemitruncus	None
Progressive pulmonary function impairment	None
Abnormal pulmonary alveolar system development	None
Abnormal pulmonary alveolar system morphology	None
Abnormal pulmonary fissure count	None
Abnormality of lateral cricoarytenoid muscle	None
Abnormal lateral cricoarytenoid muscle morphology	None
Abnormality of lateral crico-arytenoid	None
Abnormal anterior cricoarytenoid muscle morphology	None
Expiratory air trapping	None
Subglottic stenosis	None
Early inspiratory crackles	None
Recurrent bronchitis	None
Bronchitis, recurrent	None
Cryptogenic organizing pneumonia	None
Bronchiolitis obliterans organizing pneumonia	None
BOOP	None
Cryptogenic organising pneumonia	None
Bronchiolitis obliterans organising pneumonia	None
Traction bronchiolectasis	None
Dyspnoea at rest	None
Dyspnea at rest	None
Shortness of breath at rest	None
Rest dyspnea	None
Breathlessness at rest	None
Supernumerary pulmonary fissure	None
increased pulmonary fissure count	None
Pulmonary paraglioma	None
Lung fibroma	None
Bronchodysplasia	None
Abnormal mucociliary transport	None
Abnormal mucociliary clearance	None
Abnormal CO2 levels in blood	None
Abnormal blood carbon dioxide level	None
Pulmonary embolism	None
Blood clot in artery of lung	None
Pulmonary opacity	None
Abnormal type II pneumocyte morphology	None
Abnormal pulmonary type II cell morphology	None
Abnormal alveolar type II pneumocyte morphology	None
Abnormal alveolar epithelial type II cell morphology	None
Reduced FVC	None
Decreased forced vital capacity	None
Reduced forced vital capacity	None
Respiratory insufficiency due to defective ciliary clearance	None
Neonatal inspiratory stridor	None
Repeated pneumothorax	None
Repeated pneumothoraces	None
Abnormal residual volume	None
Abnormality of the pharynx	None
Dynein arm defect of respiratory motile cilia	None
Type 4 total anomalous pulmonary venous connection	None
Mixed total anomalous pulmonary venous connexion	None
Total anomalous pulmonary venous connection, mixed	None
Mixed total anomalous pulmonary venous connection	None
Laryngomalacia	None
Softening of voice box tissue	None
Alveolar cell carcinoma	None
Exertional dyspnoea	None
Exertional breathlessness	None
Exertional dyspnea	None
Shortness of breathing upon physical activity	None
Laryngotracheomalacia	None
Weakness of muscles of respiration	None
Shortness of breath	None
Difficulty breathing	None
Dyspnea	None
Breathing difficulty	None
Panting	None
Trouble breathing	None
Dyspnoea	None
Difficult to breathe	None
Abnormal breathing	None
Mass on thoracic imaging	None
Pulmonary cavitation	None
Pulmonary cavern	None
Pulmonary cavity	None
Reversible airflow obstruction	None
Reversible pulmonary obstruction	None
Diffuse alveolar damage	None
Supernumerary tracheal bronchus	None
Tracheocele	None
Tracheal diverticulum	None
Tracheal diverticulosis	None
Paratracheal air cyst	None
Diverticulosis of trachea	None
Absent bronchoalveolar surfactant-protein C	None
Type 3 congenital pulmonary airway malformation	None
Restrictive ventilatory defect	None
Restrictive deficit on pulmonary function tests	None
Spirometric restriction	None
Stiff lung or chest wall causing decreased lung volume	None
Restrictive respiratory disease	None
Restrictive lung disease	None
Restrictive deficit on pulmonary function testing	None
Restrictive respiratory syndrome	None
Restrictive respiratory insufficiency	None
Architectural distortion of the lung	None
Intrapulmonary hemorrhage	None
Pulmonary haemorrhage	None
Pulmonary hemorrhage	None
Intrapulmonary haemorrhage	None
Abnormal pulmonary artery morphology	None
Failure of development of ethmoid sinuses	None
Absent ethmoidal sinuses	None
Agenesis of ethmoid sinuses	None
Missing ethmoid sinuses	None
Increased airway neuroendocrine cells	None
