Abnormality of the breast	HP:0000769
Tumor of the peripheral nervous system	None
Neoplasm of the peripheral nervous system	None
T2 hypointense basal ganglia	None
Focal aware sensory seizure with auditory features	None
Gustatory lacrimation	None
Recurrent meningitis	None
Low CSF albumin	None
Decreased CSF albumin concentration	None
Substantia nigra gliosis	None
Orofacial dyskinesias	None
Orofacial dyskinesia	None
Focal aware autonomic seizure with urge to urinate/defecate	None
Ambiguous facial expression	None
Proximal hyperreflexia	None
Hyperreflexia proximally	None
Abnormal arginine levels in cerebrospinal fluid	None
Abnormal CSF arginine concentration	None
Abnormal CSF glucose level	None
Abnormal CSF glucose concentration	None
Tectal enlargement	None
Quadrigeminal plate enlargement	None
Tectal plate enlargement	None
Dysgenesis of the thalamus	None
Thalamic dysgenesis	None
Small intestine carcinoid	None
Low voltage EEG	None
Abnormal upper motor neuron morphology	None
Abnormal shape of upper motor neuron	None
Stereotypic movements of face and head	None
Aprosencephaly	None
Widened cavum septum pellucidum	None
Cavum septum pellucidum	None
Large cavum septi pellucidi	None
Persistent cavum septum pellucidum	None
Decreased CSF epinephrine concentration	None
Abnormal gestures	None
Abnormal gesture use	None
Abnormal communicative gestures	None
Abnormal communicative gesture use	None
Triceps areflexia	None
Areflexia of triceps	None
Hypoplastic anterior limbs of the internal capsule	None
Vestibular aura	None
Focal sensory seizure with vestibular features	None
Partial vestibular seizure	None
Focal vestibular seizure	None
No auditory brainstem response	None
Absent brainstem auditory responses	None
Progressive extrapyramidal movement disorder	None
Partial somatosensory seizure	None
Somatosensory aura	None
Somatosensory auras	None
Focal sensory seizure with somatosensory features	None
Focal somatosensory seizure	None
Abnormal red nucleus morphology	None
Segmental peripheral demyelination	None
SEDAC	None
Spinal extradural arachnoid cyst	None
Focal impaired awareness undressing automatism seizure	None
Meningitis	None
Ruminations	None
Schizencephaly	None
Periodic hyperkalemic paralysis	None
Hyperkalemic periodic paralysis	None
Focal inhibitory status epilepticus	None
Status epilepticus with ictal paresis	None
Reduced sharing of interests	None
Pinched nerve	None
Nerve tumour	None
Nerve tumor	None
Neuroma	None
Upper limb spasticity	None
Upper extremities spasticity	None
Spasticity of upper extremity	None
Uncontrollable movement in upper arms	None
Spasticity in upper extremity	None
Spastic upper limbs	None
Spastic upper limb	None
Spastic upper extremities	None
Spasticity of upper limb	None
Upper extremity spasticity	None
Spasticity of upper extremities	None
Spasticity in upper extremities	None
Spastic upper extremity	None
Spasticity in upper limbs	None
Spasticity of upper limbs	None
Spasticity in upper limb	None
Inferior cerebellar vermis hypoplasia	None
Hypoplasia of inferior vermis	None
Inferior vermis hypoplasia	None
Advanced sleep onset	None
Early sleep onset	None
Early chronotype	None
Abnormal conus terminalis morphology	None
Abnormal conus medullaris morphology	None
Vestibular sensory seeking	None
Unilateral paralysis of the vocal cord	None
Unilateral vocal cord paralysis	None
Clasp-knife sign	None
Cerebral cortex swollen achromatic neurons	None
Swollen achromatic neurons in the cerebral cortex	None
Cerebral cortex Pick cells	None
Light hypersensitivity	None
Photophobia	None
Extreme sensitivity of the eyes to light	None
Photodysphoria	None
Subependymal pseudocyst	None
Subependymal cysts	None
Subependymal germinolytic cyst	None
Recurrent hypersomnia	None
Idiopathic hypersomnia	None
Episodic hypersomnia	None
Sleep apnea	None
Sleep apnoea	None
Pauses in breathing while sleeping	None
Neonatal seizure with bilateral asymmetric automatism	None
Punctate periventricular T2 hyperintense foci	None
Specific learning disability	None
Eating-induced seizure	None
Hobby horse gait	None
Pseudobulbar paralysis	None
Pseudobulbar syndrome	None
Pseudobulbar palsy	None
Pronunciation difficulties	None
Freezing of gait	None
Freezing gait	None
Brain xanthomas	None
Brain xanthomata	None
Brain xanthomatosis	None
Cerebral cortical hemiatrophy	None
Proprioceptive-induced seizure	None
Naso-orbital encephalocele	None
Orbital encephalocele	None
Eyelid apraxia	None
Difficulty opening the eyelids	None
Generalised atonic seizure	None
Generalized atonic seizure	None
Small cerebellar cortex	None
Impaired proprioception	None
Abnormality of proprioception	None
Focal impaired awareness tonic seizure	None
Diminished motivation	None
Lacks initiative	None
Abnormal diminished volition	None
Diminished volitional state	None
Lacking in initiative	None
Lack of motivation	None
Lack of initiative	None
Diminished energy	None
Memory impairment	None
Memory problems	None
Forgetfulness	None
Memory loss	None
Poor memory	None
EEG with occipital epileptiform discharges	None
Waddling walk	None
Waddling gait	None
Somatic bodily hallucination	None
Hallucination of bodily sensation	None
Somatic hallucination	None
Sleep-wake cycle disturbance	None
Sleep phase disturbance	None
Sleep-wake cycle disorders	None
Internal-clock disorders	None
Specific anti-polysaccharide antibody deficiency	None
Decreased specific anti-polysaccharide antibody level	None
Low specific anti-polysaccharide antibody titer	None
Depressed antibody response to polysaccharide antigens	None
Palpable purpura	None
Reduced factor XII activity	None
Hageman factor deficiency	None
Factor XII deficiency	None
Erythrocytosis	None
Abnormally shaped erythrocytes	None
Polyglobulia	None
Increased red blood cells	None
Polycythemia	None
Purpura	None
Red or purple spots on the skin	None
Blood spots	None
Increased circulating specific IgE antibody concentration	None
Increased circulating specific IgE antibody	None
Fetal posterior fossa hemorrhage	None
Total absence von Willebrand factor multimers	None
Hyperfibrinogenemia	None
Abnormal megakaryocyte morphology	None
Abnormality of cells of the megakaryocyte lineage	None
Gastrointestinal granulomatosis	None
Increased annexin V binding to platelet phosphatidylserine	None
Cerebral granulomatosis	None
Round retinal heme	None
Dot-and-blot retinal hemorrhage	None
Dot-and-blot retinal haemorrhage	None
Transient hypogammaglobulinemia of infancy	None
Newborn gammaglobulin deficiency	None
Primary central nervous system lymphoma	None
Primary CNS lymphoma	None
Blood clot in cerebral vein	None
Cerebral venous thrombosis	None
Cerebral thrombosis	None
Cerebral vein thrombosis	None
Monoclonal elevation of circulating IgA	None
Fetal intraventricular hemorrhage without ventriculomegaly	None
Grade II fetal intracranial hemorrhage	None
Grade II foetal intracranial haemorrhage	None
Abnormal Double negative Treg distribution	None
Abnormal CD4-negative, CD8-negative, alpha-beta regulatory T cell distribution	None
Abnormal proportion of double-negative alpha-beta regulatory T cell	None
Abnormal DN Treg distribution	None
Abnormal double-negative alpha-beta regulatory T cell distribution	None
Multiple lineage myelodysplasia	None
Increased bleeding time	None
Prolonged bleeding time	None
Transient decreased IgE in blood	None
Transient decreased circulating IgE concentration	None
Transient decreased circulating IgE	None
Decreased proportion of memory T cells	None
Decreased proportion of CD4+CD29+ cells	None
Grade IV foetal intracranial haemorrhage	None
Fetal intraventricular hemorrhage with periventricular hemorrhage	None
Grade IV fetal intracranial hemorrhage	None
Abnormality of myeloid leukocytes	None
Abnormal myeloid leukocyte morphology	None
Reduced proportion of CD4-positive cells	None
Decreased proportion of CD4-positive T cells	None
Decreased proportion of CD4+ cells	None
Decreased proportion of CD4-positive, alpha-beta T cells	None
Lipid-laden bone-marrow macrophages	None
Methemoglobinemia	None
Increased number of B cells	None
Increase in B cell number	None
Increase in B cell count	None
Increased B cell count	None
Increased circulating metamyelocyte count	None
Abnormal plasma cell count	None
Chronic (near) absent circulating IgG1	None
Chronic (near) absent IgG1 in blood	None
Pyridoxine-responsive sideroblastic anemia	None
Pyridoxine-responsive sideroblastic anaemia	None
Reticulocytopenia	None
Decreased proportion of memory B cells	None
Abnormality of erythroid lineage cell	None
Abnormality of red blood cells	None
Abnormal erythrocyte morphology	None
Abnormality of erythrocytes	None
Chronic lymphatic leukaemia	None
Chronic lymphocytic leukaemia	None
Chronic lymphocytic leukemia	None
Chronic lymphatic leukemia	None
Microspherocytosis	None
Abnormal granulocyte count	None
Anemia due to reduced life span of red cells	None
Anaemia due to reduced life span of red cells	None
Splenic hemophagocytosis	None
Spleen hemophagocytosis	None
Abnormal lymphocyte apoptosis	None
Reduced erythrocyte hexokinase activity	None
Increased proportion of naive B cells	None
Increased anti-parasite IgE antibody level	None
Anisopoikilocytosis	None
Impaired ristocetin cofactor assay activity	None
Abnormal IgE level in blood	None
Abnormal circulating IgE level	None
Abnormal circulating IgE concentration	None
Decreased IgM	None
Decreased circulating total IgM	None
IgM deficiency	None
Decreased IgM level	None
Reduced IgM levels	None
Cerebral venous sinus thrombosis	None
Dysplastic granulopoesis	None
Excessive bleeding from superficial cuts	None
Defects of leukocyte migration	None
Leukocyte migration defect	None
Abnormal leukocyte migration	None
Granulocytic hyperplasia	None
Ph-positive acute lymphoblastic leukaemia	None
Philadelphia-positive acute lymphoblastic leukemia	None
Ph-positive acute lymphoblastic leukemia	None
Philadelphia-positive acute lymphoblastic leukaemia	None
Decreased circulating IgG4 level	None
Decreased circulating IgG4 concentration	None
Decreased IgG4 level in blood	None
Plasmacytoma	None
Increased blood leukocyte number	None
High white blood count	None
Elevated white blood count	None
Leukocytosis	None
Left shift	None
Increased circulating band cell count	None
Increased circulating band form neutrophils	None
Chronic partially decreased IgG1 in blood	None
Chronic partially decreased circulating IgG1	None
Increased lymphocyte apoptosis	None
Recurrent epistaxis	None
Recurrent epistaxes	None
Spontaneous, recurrent epistaxis	None
Recurring nosebleed	None
Spontaneous, recurrent nosebleed	None
Giant platelets	None
Decreased specific antibody response to protein vaccine	None
Complete or near-complete absence of specific antibody response to meningococcus vaccine	None
Decreased proportion of CD19+CD27+IgD- cells	None
Decreased proportion of class-switched memory B cells	None
Abnormal number of erythroid precursors	None
Increased proportion of CD19+/CD21low B cells	None
Increased proportion of immature B cells	None
Reduction of neutrophil motility	None
Lymphoid hyperplasia	None
Lipogranulomatosis	None
Complete or near-complete absence of specific antibody response to hepatitis B vaccine	None
Heinz bodies	None
Bleeding requiring red cell transfusion	None
Peripheral blood clot	None
Peripheral thrombosis	None
Intermittent thrombocytopenia	None
Transient decreased circulating total IgG	None
Reduced platelet alpha granules	None
Amegakaryocytic thrombocytopenia	None
Oval macrocytosis	None
Blood clot in mesentertic vein	None
Mesenteric venous thrombosis	None
Abnormal number of dense granules	None
Abnormal myeloid cell morphology	None
Abnormal platelet granule secretion	None
IgA heavy chain paraproteinemia	None
Alpha heavy chain disease	None
Cyclic neutropenia in myeloid maturation arrest in bone marrow	None
Abnormal proportion of CD8-positive, alpha-beta T cells	None
Abnormal proportion of CD8+ T cells	None
Abnormal proportion of CD8-positive T cells	None
Abnormal proportion of CD4-positive T cells	None
Abnormal proportion of CD4+ T cells	None
Abnormal proportion of CD4-positive, alpha-beta T cells	None
Abnormal B cell proliferation	None
Increased circulating IgG1 level	None
Increased proportion of naive T cells	None
Elevated proportion of naive T cells	None
Increased proportion of naive thymus-derived, alpha-beta T cells	None
Bone marrow cystine accumulation	None
Acute myelomonocytic leukemia	None
Acute myelomonocytic leukaemia	None
Abnormality of bone marrow stromal cells	None
T cell chronic lymphocytic lymphoma/leukemia	None
Subcutaneous arteriolar thrombosis	None
Poikilocytosis	None
Hypersideremic anaemia	None
Hypersideremic anemia	None
Sideroblastic anemia	None
Sideroblastic anaemia	None
Abnormal serum level of immunoglobulin	None
Abnormal immunoglobulin concentration	None
Abnormal circulating immunoglobulin concentration	None
Abnormal serum immunoglobulin levels	None
Immunoglobulin abnormality	None
Abnormal immunoglobulin level	None
Abnormal serum immunoglobulin concentration	None
Polyclonal elevation of IgM	None
Myelokathexis	None
Oligoclonal T cell expansion	None
Bone marrow: vacuolated lymphocytes	None
Bone marrow vacuolated lymphocytes	None
Decreased proportion of plasmablasts	None
Neutropenia in presence of anti-neutropil antibodies	None
Autoimmune neutropenia	None
Transient decrease in blood erythrocyte number	None
Transient erythroblastopenia	None
Increased proportion autoreactive unresponsive CD21-/low B cells	None
Abnormal proportion of effector memory CD8-positive, alpha-beta T cells	None
Compensated hemolytic anemia	None
Compensated hemolytic anaemia	None
Chronic decreased IgG2 in blood	None
Chronic decreased circulating IgG2	None
Degmacytes	None
Bite cells	None
Blister cells	None
Impaired T cell function	None
T-cell dysfunction	None
Abnormality of the coagulation cascade	None
Coagulopathy	None
Abnormal distribution of CD56 bright/dim natural killer cells	None
Abnormal distribution of CD56 bright/dim NK cells	None
Impaired delayed hypersensitivity	None
Reduced delayed hypersensitivity	None
Decreased reactivity to skin test antigens	None
Deficiency of delayed skin hypersensitivity	None
Decreased proportion of CD19+/CD21low B cells	None
Decreased proportion of immature B cells	None
Neutrophilia in absence of infection	None
Decreased circulating IgG1 level	None
Decreased IgG1 level in blood	None
Decreased circulating IgG1 concentration	None
Increased anti-dairy protein IgE antibody level	None
Increased anti-dairy IgE antibody level	None
Increased proportion of marginal zone B cells	None
Intrapulmonary hemorrhage	None
Pulmonary haemorrhage	None
Pulmonary hemorrhage	None
Intrapulmonary haemorrhage	None
Increased circulating IgG2 level	None
Anaemia	None
Decreased haemoglobin	None
Decreased hemoglobin	None
Low number of red blood cells or hemoglobin	None
Low number of red blood cells or haemoglobin	None
Anemia	None
Spontaneous platelet aggregation	None
Decreased mean corpuscular hemoglobin concentration	None
Decreased mean corpuscular haemoglobin	None
Decreased MCH	None
Decreased mean corpuscular Hb concentration	None
Decreased mean corpuscular haemoglobin concentration	None
Decreased MCHC	None
Hypochromic anemia	None
Abnormal uridine diphosphate glucose-4-epimerase level in red blood cells	None
Abnormal UDP-glucose 4-epimerase level in red blood cells	None
Abnormal erythrocyte uridine diphosphate glucose-4-epimerase concentration	None
Abnormal erythrocyte UDP glucose-4-epimerase concentration	None
Abnormal UDP-glucose 4-epimerase level in RBCs	None
Reduced erythrocyte 2,3-diphosphoglycerate concentration	None
Decreased specific antibody response to infection	None
Immune thrombocytopenia	None
Idiopathic thrombocytopenic purpura	None
Autoimmune thrombocytopenia	None
Idiopathic thrombocytopenia	None
Prepartum haemorrhage	None
Prepartum hemorrhage	None
Antepartum hemorrhage	None
Antepartum haemorrhage	None
Abnormal proportion of CD4+ effector memory cells	None
Abnormal proportion of CD4-positive effector memory cells	None
Abnormal proportion of effector memory CD4-positive, alpha-beta T cells	None
Abnormal proportion of class-switched memory B cells	None
Abnormal proportion of CD19+CD27+IgD- cells	None
Prednisone-responsive anaemia	None
Prednisone-responsive anemia	None
Steroid-responsive anemia	None
Steroid-responsive anaemia	None
Impaired thromboxane A2 agonist-induced platelet aggregation	None
Abnormal erythrocyte metabolite concentration	None
Absent NK cells	None
Absent natural killer cells	None
Target cells	None
Codocytes	None
Increase in T cell count	None
Increased T cell count	None
Increase in T cell number	None
Lack of T cell function	None
Absent cellular immunity	None
Bone marrow arrest at the promyelocytic stage	None
Michaelis-Gutmann bodies	None
Malakoplakia	None
Decreased circulating IgE	None
Decreased IgE	None
IgE deficiency	None
Decreased circulating IgE concentration	None
Erythroid dysplasia	None
Dyserythropoiesis	None
Abnormal red blood cell count	None
Abnormal RBC count	None
Malignant eosinophil proliferation	None
Abnormal isohemagglutinin level	None
Abnormal level of natural antibody to blood group agents	None
Abnormal natural antibody level to blood group antigens in blood (isohemagglutinin)	None
BDCA-3	None
Decreased level of thrombomodulin	None
Increased sickling of erythrocytes	None
Increased sickling of red cells	None
Increased red cell sickling tendency	None
Defective lymphocyte apoptosis	None
Decreased lymphocyte apoptosis	None
Post-transfusion thrombocytopenia	None
Post-transfusion purpura	None
Chronic decreased total IgG in blood	None
Chronic decreased circulating total IgG	None
Granulocytopenia	None
Complete or near-complete absence of specific antibody response to Haemophilus influenzae type b (Hib) vaccine	None
Abnormal proportion of transitional B cells	None
Abnormal proportion of CD19+CD38+IgM+ cells	None
Myeloid maturation arrest	None
Myeloid maturation arrest in bone marrow	None
Gamma-glutamyl cysteine synthetase low in erythrocytes	None
Reduced erythrocyte gamma-glutamyl cysteine synthetase activity	None
Decreased proportion of CD3-positive T cells	None
Decreased proportion of CD3+ T cells	None
Chronic decreased IgG4 in blood	None
Chronic decreased circulating IgG4	None
Partial absence of specific antibody response to tetanus vaccine	None
Increased anti-gluten IgE antibody level	None
Increased level of anti-gluten IgE antibody	None
Impaired convulxin-induced platelet aggregation	None
Platelet anisocytosis	None
Abnormality of neutrophil morphology	None
Abnormal neutrophil morphology	None
Prolonged bleeding after dental extraction	None
Subdural haematoma	None
Subdural hematoma	None
Subdural haemorrhage	None
Subdural hemorrhage	None
Abnormal Hb	None
Abnormal haemoglobin	None
Abnormal hemoglobin	None
Abnormality of von Willebrand factor	None
Intracerebral hemorrhage	None
Cerebral hemorrhage	None
Intracerebral haemorrhage	None
Cerebral haemorrhage	None
Bleeding in brain	None
Hemorrhagic stroke	None
Elevated proportion of naive CD8 T cells	None
Increased proportion of naive CD8 T cells	None
Elevated proportion of naive thymus-derived CD8-positive, alpha-beta T cells	None
Abnormal circulating IgM concentration	None
Abnormal IgM level in blood	None
Abnormal circulating IgM level	None
Plasmocytoma	None
Kahler's disease	None
Multiple myeloma	None
Increased proportion of HLA DR+ T cells	None
Macrocytic dyserythropoietic anaemia	None
Macrocytic dyserythropoietic anemia	None
Reduced erythrocyte glutathione concentration	None
Prolonged Russell's viper venom time	None
Neonatal hemolytic anemia	None
Congenital haemolytic anaemia	None
Congenital haemolytic anemia	None
Neonatal hemolytic anaemia	None
Congenital hemolytic anemia	None
Congenital hemolytic anaemia	None
Refractory anemia	None
Refractory anaemia	None
Megaloblastic anemia	None
Megaloblastic anaemia	None
Absence of large von Willebrand factor multimers	None
Paraproteinemia	None
Monoclonal hypergammaglobulinemia	None
Subarachnoid hemorrhage	None
Congenital dyserythropoietic anaemia	None
Congenital dyserythropoietic anemia	None
Congenital hypoplastic anemia	None
Congenital hypoplastic anaemia	None
Factor X activation deficiency	None
Decreased level of heparin co-factor II	None
Heparin co-factor II deficiency	None
Myeloid hyperplasia	None
Bone marrow hypercellularity	None
Heparin-induced thrombocytopenia	None
Abnormality of B cells	None
Abnormal B cell morphology	None
Abnormal B cells	None
Delayed onset bleeding	None
Decreased haemoglobin concentration	None
Decreased Hb concentration	None
Decreased hemoglobin concentration	None
Increased MCV	None
Erythrocyte macrocytosis	None
Increased mean corpuscular volume	None
Elevated erythrocyte adenosine triphosphate concentration	None
Adenosine triphosphate (ATP) high in erythrocytes	None
Abnormal monocyte count	None
Abnormal monocyte number	None
Increased proportion of memory B cells	None
Grade III preterm intraventricular haemorrhage	None
Grade III preterm intraventricular hemorrhage	None
Elevated circulating plasminogen activator inhibitor 1 activity	None
Retinal haemorrhage	None
Retinal haemorrhages	None
Retinal hemorrhage	None
Retinal hemorrhages	None
Retinal bleeding	None
Monoclonal elevation of IgG light chain	None
Decreased level of tPA	None
Decreased level of tissue plasminogen activator	None
Vocal cord paresis	None
Hoarse voice due to vocal cord paresis	None
Weakness of the vocal cords	None
Vocal cord paresis in severe cases	None
Laryngeal paralysis	None
Vocal cord paralysis	None
Inability to move vocal cords	None
Abnormality of the voice	None
Voice abnormality	None
Hoarseness	None
Hoarse voice	None
Husky voice	None
Nasal speech	None
Hypernasal voice	None
Nasal voice	None
Hypernasal speech	None
Weak cry	None
Hoarse cry	None
Inability to produce voice sounds	None
Dysphonia	None
Voice change	None
Quiet voice	None
Soft voice	None
Weak voice	None
Hypophonia	None
Aphonia	None
Loss of voice	None
Imperfect vocal cord adduction	None
Pseudobulbar paralysis	None
Pseudobulbar syndrome	None
Pseudobulbar palsy	None
Unilateral paralysis of the vocal cord	None
Unilateral vocal cord paralysis	None
Speech articulation difficulties	None
Laryngeal dystonia	None
Spasmodic dysphonia	None
Bilateral vocal cord paralysis	None
Unilateral vocal cord paresis	None
Bilateral vocal cord paresis	None
Abnormal cry	None
High-pitched cry	None
Staccato cry	None
Vocal cord dysfunction	None
Hyponasal speech	None
cat-like cry	None
cri de chat-associated cry	None
Cat cry	None
Pronunciation difficulties	None
Vowel expressive impediment	None
Consonant expressive impediment	None
Wet voice	None
Abnormal respiratory patterns	None
Abnormal pattern of respiration	None
Unusual breathing patterns	None
Reduced forced expiratory volume in one second	None
Reduced FEV1	None
Laryngomalacia	None
Softening of voice box tissue	None
Pulmonary blood flow redistribution	None
Pulmonary bulla	None
Pulmonary bullae	None
Opacified paranasal sinuses	None
Paranasal sinuses opacification	None
Paranasal sinuses opacified	None
Bifid epiglottis	None
Endogenous lipoid pneumonia	None
Lymphocytic interstitial pneumonitis	None
Lymphoid interstitial pneumonia	None
Lymphocytic interstitial pneumonia	None
Lymphoid interstitial pneumonitis	None
Dynein arm defect of respiratory motile cilia	None
Bilateral trilobed lung	None
Bilateral trilobed lungs	None
Narrowing of lung artery	None
Pulmonary artery stenosis	None
Pulmonary amyloidosis	None
Reduced maximal expiratory pressure	None
Hyperpolarized transepithelial nasal potential difference	None
Abnormal pulmonary alveolar system morphology	None
Siderophages in bronchoalveolar fluid	None
Hemosiderin-laden macrophages in bronchoalveolar fluid	None
Accumulation of hemosiderin laden alveolar macrophages	None
Night gasping	None
Exogenous lipoid pneumonia	None
Pulmonary alveolar proteinosis	None
Intraalveolar phospholipid accumulation	None
Alveolar proteinosis	None
Detection of PAS-positive extracellular material in broncho-alveolar lavage	None
Pulmonary opacity	None
Immotile cilia	None
Dyspnoea at rest	None
Dyspnea at rest	None
Shortness of breath at rest	None
Rest dyspnea	None
Breathlessness at rest	None
Centriacinar emphysema	None
Centrilobular emphysema	None
Respiratory cilia have shortened or absent outer dynein arms	None
Absent/shortened outer dynein arms	None
Abnormal mucociliary transport	None
Abnormal mucociliary clearance	None
Abnormality of the vocal cords	None
Abnormal vocal cord morphology	None
Recurrent respiratory infections	None
Susceptibility to respiratory infections	None
Multiple respiratory infections	None
Frequent respiratory infections	None
respiratory infections, recurrent	None
Pulmonary artery sling	None
Abnormal cell differential of broncho-alveolar fluid	None
Abnormal cellular composition of bronchoalveolar fluid	None
Bronchitis	None
Intrapulmonary sequestration	None
Intralobar sequestration	None
Intrapulmonary lobar sequestration	None
Crackles	None
Crepitations	None
Rales	None
Peripheral pulmonary vessel aplasia	None
Follicular bronchiolitis	None
Alveolar capillary dysplasia	None
Bilateral apical pulmonary fibrosis	None
Decreased RV/TLC ratio	None
Cheyne-Stokes respiration	None
Periodic respiration	None
Cheyne-Stokes breathing	None
Reduced maximal inspiratory pressure	None
Respiratory failure	None
Bronchial telangiectasia	None
Endobronchial telangiectasia	None
Nodular-random pattern on pulmonary HRCT	None
Pulmonary necrosis	None
Multiple pulmonary infections	None
Recurrent pulmonary infections	None
Pneumonia, recurrent episodes	None
Recurrent pneumonia	None
pulmonary infections, recurrent	None
Pulmonary infection	None
Pneumonia, recurrent	None
Pulmonary infections	None
Abnormal size of nasopharyngeal adenoids	None
Abnormality of the bronchi	None
Abnormal bronchus morphology	None
Glycogen accumulation in pulmonary interstitial cells	None
Pleural rub	None
Abnormality of the sphenoidal sinus	None
Abnormality of the sphenoid sinus	None
Intrapulmonary shunting	None
Intrapulmonary shunt	None
Abnormality of the upper jaw sinus	None
Abnormality of the antrum of Highmore	None
Abnormality of the maxillary antrum	None
Abnormality of the maxillary sinus	None
Adenoids large	None
Adenoid hypertrophy	None
Increased size of nasopharyngeal adenoids	None
Late inspiratory crackles	None
Decreased post-bronchodilator FEF25-75%	None
Decreased post bronchodilator forced expiratory flow 25-75%	None
Decreased post-bronchodilator forced expiratory flow 25-75%	None
Decreased postbronchodilator forced expiratory flow 25-75%	None
Peripheral lung neovascularity	None
Desquamative interstitial pneumonitis	None
Intra-alveolar accumulation of macrophages	None
Filling of the alveoli with alveolar macrophages	None
Filling of the alveoli with desquamated epithelial cells	None
Tachypnea	None
Polypnea	None
Increased respiratory rate or depth of breathing	None
Acinar dysplasia	None
Low nasal nitric oxide level	None
Decreased nasal nitric oxide	None
Recurrent upper respiratory tract infections	None
Recurrent colds	None
Upper respiratory tract infections, recurrent	None
Upper respiratory tract infections	None
Recurrent upper respiratory infections	None
Frequent upper respiratory tract infections	None
Recurrent upper respiratory and lower respiratory infections	None
Recurrent upper respiratory infection	None
Recurrent URI	None
Frequent upper respiratory infections	None
Nodular-perilymphatic pattern on pulmonary HRCT	None
Pulmonary interstitial thickening	None
Recurrent viral pneumonia	None
Mucus plug	None
Atypical perifissural nodule	None
Repeated pneumothorax	None
Repeated pneumothoraces	None
Neonatal respiratory distress	None
Infantile respiratory distress	None
Respiratory distress, neonatal	None
Newborn respiratory distress	None
Inferior mediastinal mass	None
Wheezing	None
Pulmonary hamartoma	None
Bronchial neoplasm	None
Whooping cough	None
Decreased diameter of pharynx	None
Hypotrophic pharynx	None
Underdevelopment of pharynx	None
Decreased width of pharynx	None
Hypoplasia of the pharynx	None
Decreased length of pharynx	None
Decreased size of pharynx	None
Decreased volume of pharynx	None
Small pharynx	None
Intralobular lines	None
Intralobular septal thickening	None
Absent inner dynein arms	None
Irregular septal thickening on pulmonary HRCT	None
Congenital laryngeal stridor	None
Superior mediastinal mass	None
Dminished respiratory ciliary beat frequency	None
Reduced respiratory ciliary beating frequency	None
Nodular-centrilobular with tree-in-bud pattern on pulmonary HRCT	None
Apneic episodes in infancy	None
Recurrent bleeding into lungs	None
Recurrent intrapulmonary hemorrhage	None
Recurrent pulmonary hemorrhage	None
Recurrent intrapulmonary haemorrhage	None
Recurrent pulmonary haemorrhage	None
Decreased volume of paranasal sinus	None
Decreased growth of paranasal sinus	None
Paranasal sinus hypoplasia	None
Hypotrophic paranasal sinus	None
Underdevelopment of paranasal sinus	None
Small paranasal sinus	None
Decreased size of paranasal sinus	None
Decreased pneumatization of paranasal sinus	None
Atelectasis of paranasal sinus	None
Exercise-induced asthma	None
Crazy-paving pattern	None
Crazy paving pattern	None
Crazy paving pattern on pulmonary HRCT	None
Type 4 total anomalous pulmonary venous connection	None
Mixed total anomalous pulmonary venous connexion	None
Total anomalous pulmonary venous connection, mixed	None
Mixed total anomalous pulmonary venous connection	None
Paroxysmal dyspnea	None
Paroxysmal dyspnoea	None
CTRD	None
Complete tracheal ring	None
Complete tracheal ring deformity	None
Complete tracheal rings	None
Inspiratory crackles	None
Eosinophils predominate in nasal discharge	None
Nasal secretion eosinophilia	None
Peribronchovascular interstitial thickening	None
Increased sputum production	None
Increased phlegm	None
Hypocapnia	None
Hypocarbia	None
Reduced carbon dioxide in the blood	None
Missing sinuses	None
Absence of paranasal sinuses	None
Missing paranasal sinuses	None
Aplasia of paranasal sinuses	None
Absent paranasal sinuses	None
Abnormal pulmonary function test	None
Abnormal spirometry test	None
Abnormality on pulmonary function testing	None
Pulmonary capillary hemangiomatosis	None
Pulmonary hemangiomas	None
Fibrotic non-specific interstitial pneumonia	None
Folded lung syndrome	None
Comet tail sign	None
Pleural pseudotumor	None
Blesovsky syndrome	None
Helical atelectasis	None
Pleuroma	None
Rounded atelectasis	None
Neoplasm of the larynx	None
Non-caseating pulmonary granulomatosis	None
Non-necrotizing pulmonary granulomatosis	None
Respiratory tract infection	None
Respiratory infection	None
Respiratory infections	None
Dry coughing	None
Dry cough	None
Nonproductive cough	None
Sputum eosinophilia	None
Abnormality of lung artery	None
Abnormality of the pulmonary artery	None
Pulmonary arterial hypertension with lack of acute response to NO challenge	None
Paradoxical respiration	None
Flail chest	None
Paradoxical breathing	None
Type II pneumocyte hyperplasia	None
Bronchial asthma	None
Asthma	None
Reactive airway disease	None
Recurrent bronchitis	None
Bronchitis, recurrent	None
Signet ring sign	None
Pulmonary vein dilatation	None
Pulmonary vein varix	None
Asphyxia neonatorum	None
Neonatal asphyxia	None
Cartilaginous ossification of larynx	None
Intermittent hyperpnea at rest	None
Abnormally small frontal sinus	None
Aplasia/Hypoplasia of the frontal sinuses	None
Restrictive ventilatory defect	None
Restrictive deficit on pulmonary function tests	None
Spirometric restriction	None
Stiff lung or chest wall causing decreased lung volume	None
Restrictive respiratory disease	None
Restrictive lung disease	None
Restrictive deficit on pulmonary function testing	None
Restrictive respiratory syndrome	None
Restrictive respiratory insufficiency	None
Posterior pharyngeal cleft	None
Architectural distortion of the lung	None
Pleural plaque	None
Abnormal respiratory epithelium morphology	None
Silhouette sign	None
Recurrent viral upper respiratory tract infections	None
Rhinorrhea	None
Runny Nose	None
Nasal Discharge	None
Alveolar septal thickening	None
